"","...1","arm","cancer.type","mean","arm_stats"
"1",2,"X1p","BRCA",0.222328244274809,"BRCA: 0.31 (2.88E-14)"
"2",5,"X1p","COAD",0.235565819861432,"COAD: 0.25 (0.00E+00)"
"3",9,"X1p","KICH",0.8,"KICH: 0.82 (0.00E+00)"
"4",12,"X1p","LIHC",0.209944751381215,"LIHC: 0.29 (1.69E-07)"
"5",14,"X1p","LUSC",0.346473029045643,"LUSC: 0.41 (5.33E-07)"
"6",15,"X1p","PAAD",0.22289156626506,"PAAD: 0.25 (7.71E-09)"
"7",16,"X1p","PCPG",0.621951219512195,"PCPG: 0.63 (0.00E+00)"
"8",18,"X1p","READ",0.303225806451613,"READ: 0.31 (2.27E-04)"
"9",20,"X1p","STAD",0.208430913348946,NA
"10",32,"X1q","KICH",0.753846153846154,"KICH: 0.78 (0.00E+00)"
"11",55,"X2p","KICH",0.707692307692308,"KICH: 0.72 (1.01E-15)"
"12",65,"X2p","SARC",0.266129032258065,"SARC: 0.40 (3.33E-05)"
"13",78,"X2q","KICH",0.707692307692308,"KICH: 0.72 (1.18E-13)"
"14",95,"X3p","CESC",0.351351351351351,"CESC: 0.43 (0.00E+00)"
"15",96,"X3p","CHOL",0.638888888888889,"CHOL: 0.69 (3.04E-11)"
"16",98,"X3p","ESCA",0.533742331288344,"ESCA: 0.63 (5.87E-13)"
"17",100,"X3p","HNSC",0.609375,"HNSC: 0.71 (0.00E+00)"
"18",102,"X3p","KIRC",0.681159420289855,"KIRC: 0.75 (0.00E+00)"
"19",105,"X3p","LUAD",0.435387673956262,"LUAD: 0.46 (3.18E-12)"
"20",106,"X3p","LUSC",0.786307053941909,"LUSC: 0.82 (0.00E+00)"
"21",108,"X3p","PCPG",0.323170731707317,"PCPG: 0.37 (0.00E+00)"
"22",112,"X3p","STAD",0.234192037470726,"STAD: 0.26 (2.64E-02)"
"23",131,"X3q","PCPG",0.51219512195122,"PCPG: 0.54 (0.00E+00)"
"24",139,"X4p","BLCA",0.291044776119403,"BLCA: 0.40 (4.39E-03)"
"25",140,"X4p","BRCA",0.297709923664122,"BRCA: 0.36 (3.91E-12)"
"26",141,"X4p","CESC",0.415540540540541,"CESC: 0.46 (0.00E+00)"
"27",143,"X4p","COAD",0.277136258660508,"COAD: 0.32 (6.16E-05)"
"28",144,"X4p","ESCA",0.47239263803681,"ESCA: 0.63 (1.73E-08)"
"29",146,"X4p","HNSC",0.326171875,"HNSC: 0.41 (5.85E-15)"
"30",151,"X4p","LUAD",0.204771371769384,NA
"31",152,"X4p","LUSC",0.556016597510373,"LUSC: 0.67 (0.00E+00)"
"32",156,"X4p","READ",0.393548387096774,"READ: 0.39 (4.16E-06)"
"33",158,"X4p","STAD",0.330210772833724,"STAD: 0.40 (1.60E-11)"
"34",162,"X4q","BLCA",0.271144278606965,"BLCA: 0.36 (7.23E-04)"
"35",163,"X4q","BRCA",0.213740458015267,"BRCA: 0.31 (9.33E-08)"
"36",164,"X4q","CESC",0.256756756756757,"CESC: 0.34 (7.00E-09)"
"37",165,"X4q","CHOL",0.361111111111111,"CHOL: 0.38 (1.85E-02)"
"38",166,"X4q","COAD",0.254041570438799,"COAD: 0.30 (4.15E-08)"
"39",167,"X4q","ESCA",0.392638036809816,"ESCA: 0.53 (7.27E-07)"
"40",169,"X4q","HNSC",0.21484375,"HNSC: 0.31 (8.25E-08)"
"41",173,"X4q","LIHC",0.37292817679558,"LIHC: 0.41 (0.00E+00)"
"42",174,"X4q","LUAD",0.254473161033797,NA
"43",175,"X4q","LUSC",0.450207468879668,"LUSC: 0.62 (0.00E+00)"
"44",179,"X4q","READ",0.374193548387097,"READ: 0.42 (1.23E-09)"
"45",181,"X4q","STAD",0.351288056206089,"STAD: 0.39 (0.00E+00)"
"46",208,"X5q","BLCA",0.407960199004975,"BLCA: 0.47 (0.00E+00)"
"47",209,"X5q","BRCA",0.200381679389313,"BRCA: 0.27 (9.77E-04)"
"48",213,"X5q","ESCA",0.374233128834356,"ESCA: 0.55 (9.81E-12)"
"49",215,"X5q","HNSC",0.32421875,"HNSC: 0.39 (0.00E+00)"
"50",220,"X5q","LUAD",0.343936381709742,"LUAD: 0.41 (3.99E-08)"
"51",221,"X5q","LUSC",0.721991701244813,"LUSC: 0.76 (0.00E+00)"
"52",225,"X5q","READ",0.238709677419355,"READ: 0.30 (6.77E-03)"
"53",227,"X5q","STAD",0.259953161592506,"STAD: 0.29 (5.93E-09)"
"54",239,"X6p","KICH",0.769230769230769,"KICH: 0.78 (0.00E+00)"
"55",245,"X6p","PAAD",0.240963855421687,"PAAD: 0.36 (0.00E+00)"
"56",254,"X6q","BLCA",0.345771144278607,"BLCA: 0.44 (4.15E-10)"
"57",255,"X6q","BRCA",0.261450381679389,"BRCA: 0.31 (3.07E-06)"
"58",256,"X6q","CESC",0.216216216216216,"CESC: 0.29 (4.48E-04)"
"59",257,"X6q","CHOL",0.694444444444444,"CHOL: 0.61 (1.96E-07)"
"60",262,"X6q","KICH",0.784615384615385,"KICH: 0.78 (0.00E+00)"
"61",263,"X6q","KIRC",0.215320910973085,"KIRC: 0.25 (0.00E+00)"
"62",265,"X6q","LIHC",0.248618784530387,"LIHC: 0.34 (2.38E-11)"
"63",266,"X6q","LUAD",0.469184890656064,"LUAD: 0.49 (0.00E+00)"
"64",268,"X6q","PAAD",0.433734939759036,"PAAD: 0.46 (0.00E+00)"
"65",323,"X8p","BLCA",0.54228855721393,"BLCA: 0.63 (0.00E+00)"
"66",324,"X8p","BRCA",0.435114503816794,"BRCA: 0.56 (0.00E+00)"
"67",325,"X8p","CESC",0.293918918918919,"CESC: 0.36 (3.09E-08)"
"68",326,"X8p","CHOL",0.277777777777778,NA
"69",327,"X8p","COAD",0.376443418013857,"COAD: 0.50 (0.00E+00)"
"70",328,"X8p","ESCA",0.263803680981595,"ESCA: 0.57 (2.04E-04)"
"71",330,"X8p","HNSC",0.4375,"HNSC: 0.58 (0.00E+00)"
"72",332,"X8p","KIRC",0.248447204968944,"KIRC: 0.29 (0.00E+00)"
"73",334,"X8p","LIHC",0.596685082872928,"LIHC: 0.70 (0.00E+00)"
"74",335,"X8p","LUAD",0.473161033797217,"LUAD: 0.55 (0.00E+00)"
"75",336,"X8p","LUSC",0.533195020746888,"LUSC: 0.70 (0.00E+00)"
"76",337,"X8p","PAAD",0.246987951807229,"PAAD: 0.28 (6.82E-05)"
"77",339,"X8p","PRAD",0.266949152542373,"PRAD: 0.44 (0.00E+00)"
"78",340,"X8p","READ",0.548387096774194,"READ: 0.64 (0.00E+00)"
"79",341,"X8p","SARC",0.266129032258065,NA
"80",342,"X8p","STAD",0.227166276346604,"STAD: 0.41 (4.62E-10)"
"81",369,"X9p","BLCA",0.343283582089552,"BLCA: 0.52 (7.28E-15)"
"82",370,"X9p","BRCA",0.256679389312977,"BRCA: 0.34 (1.60E-08)"
"83",372,"X9p","CHOL",0.388888888888889,"CHOL: 0.50 (3.16E-04)"
"84",374,"X9p","ESCA",0.447852760736196,"ESCA: 0.61 (3.83E-07)"
"85",375,"X9p","GBM",0.258347978910369,"GBM: 0.39 (0.00E+00)"
"86",376,"X9p","HNSC",0.33984375,"HNSC: 0.45 (0.00E+00)"
"87",378,"X9p","KIRC",0.225672877846791,"KIRC: 0.29 (0.00E+00)"
